input,output,type
Hadawin,Venir de,time
hedi mouda,ça fait longtemps,time
mudda,durée,time
zayed / zaydi / zaydin,né,time
ma zal / ma zalet,Pas encore / Il en reste,time
ki,lorsque,time
koll lioum / koll liem,tous les jours,time
n'ar kaamel / ga3 n'ar,toute la journée,time
