input,output,type
mauvais,9bih,adjective
énervé,za3fan,adjective
sale,mwesekh,adjective
pauvre,zawali,adjective
triste,maghboun,adjective
épicé,7ar,adjective
salé,mala7,adjective
sucré,7lou,adjective
allongé,mamdoud,adjective
français,françaoui,adjective
algérien,dziri,adjective
européen,gawri,adjective
marocain,marouki,adjective
tunisien,tounsi,adjective
egyptien,masri,adjective
arabe,3arbi,adjective
musulman,mouslim,adjective
chrétien,massihi,adjective
juif,yhoudi,adjective
noir,ka7louche,adjective
affamé,mayet jou3,adjective
assoifé,mayet 3tach,adjective
rassasié,chab3an,adjective
faim,dji3an,adjective
soif,3atchane,adjective
curieux,9ar3aj,adjective
plein,m3abi,adjective
pressé,mezroub,adjective
absent,ghayeb,adjective
présent,7adar,adjective
occupé,lati,adjective
peur,khayef,adjective
endormi,ra9ad,adjective
éveillé,nayed,adjective
enthousiaste,hayel,adjective
perdu,mbaher,adjective
brûlé,ma7ro9,adjective
cassé,mkasar,adjective
défaillant,mkhaser,adjective
fâché,mgachech,adjective
riche,ghani,adjective
jaloux,ghayour,adjective
mouillé,mchamakh,adjective
sec,nachef,adjective
naïf,niya,adjective
pourri,fassed,adjective
solide,s7i7,adjective
fragile,rachi,adjective
radin,mach7a7,adjective
généreux,krim,adjective
bloqué,7assel,adjective
sommeil,na3san,adjective
rusé,7ili,adjective
déchiré,m9atta3,adjective
abîmé,mtabbez,adjective
